TropeID,Trope,Description
t01080,AntiHero,"An Archetypal Character who is almost as common in modern fiction as the Ideal Hero, an antihero is a protagonist who has the opposite of most of the traditional attributes of a hero. They may be bewildered, ineffectual, deluded, or merely apathetic. More often an antihero is just an amoral misfit. While heroes are typically conventional, anti-heroes, depending on the circumstances, may be preconventional (in a ""good"" society), postconventional (if the government is ""evil"") or even unconventional. Not to be confused with the Villain or the Big Bad, who is the opponent of Heroes (and Anti-Heroes, for that matter).
Most are to the cynical end of the Sliding Scale of Idealism vs. Cynicism.
There are just as many variations on Anti-Heroes as there are normal heroes. Some common attributes are: rarely speaking, being a loner, either extreme celibacy or extreme promiscuity, parental issues, occasional Bad Dreams and flashbacks relating to a Dark and Troubled Past that can take many forms depending on the Anti-Hero in question; and being able to tell the story of their life through any Nick Cave song. Some won't Save the Villain, but they will Shoot the Dog, and they will not hesitate to kill anyone who threatens them.
Other characters may try to impress upon them the value of more traditional heroic values through The Power of Friendship, but these lessons tend to bounce more often than stick.
What amoral antiheroes learn, if they learn anything at all over the course of the story, is that an existence devoid of absolute values offers a lot of isolation. Which may be to their liking. Don't You Dare Pity Me! is common, and gratitude may be repulsed with Think Nothing of It (just to get them to leave them alone).
These often crop up in deconstructions of traditionally heroic genres. As the struggling, imperfect protagonist begins to gain more respect and sympathy than the impressive-but-impossible-to-relate-to invincible superhero, ""anti"" heroes have come to be admired as a perfectly valid type of hero in their own right.
Sometimes, they're not the ""star"" (protagonist), but serve as The Rival or Worthy Opponent of the protagonist and are prone to becoming a Ensemble Dark Horse as fans enjoy their interactions with the protagonist. If they are part of a Five-Man Band, they will most certainly be The Lancer. Well liked ones may become a Deuteragonist or at least get A Day in the Limelight to please the fans.
The term is used more loosely today than it used to be, at least on This Wiki. In one definition of the word, the appeal of an antihero is that they're often very literally a hero: Namely; they do heroic deeds. But whereas Superman, Wonder Woman, and many other conventional heroes have both the physical and moral capabilities to do it, an antihero almost never has both.
Anti-Heroes are spread all over the alignment chart, tending toward Neutral types.
Traditionally, in literary analysis, the meaning of antihero was effectively the opposite of the now common usage, lacking the elements that make a hero ""cool"" rather than the elements that make them ""good"". Willy Loman and Shinji Ikari are archetypes of this form.
If you've been sent here by a work referring to someone as a ""Type-I"" antihero (or so forth), they are referring to Analysis.Anti Hero, which is a sub-page of this one. Since those numbers are no longer used even on that page, they should be replaced with an appropriate named type.
Compare Anti-Villain. A character who is a Wild Card or a Heel–Face Revolving Door can be capable of being both an Anti-Hero and an Anti-Villain depending on whether or not they are acting for or against the protagonist at the time. For an ensemble of these heroes, see Anti-Hero Team.
Not to be confused with the webcomic Anti-Heroes."
t01109,AntiVillain,"An Anti-Villain is the opposite of an Anti-Hero — a character with heroic goals, personality traits, and/or virtues who is ultimately the villain. Their desired ends are mostly good, but their means of getting there range from evil to undesirable. Alternatively, their goals may be selfish or have long-term consequences they don't care about, but they're good people who might even team up with the hero if their goals don't conflict.
They often reach a kind of critical mass that makes them more good than normal villains but not quite heroes, blurring the line between hero and villain the same way an Anti-Hero does, but coming from the opposite direction.
Anti-Villain is an attempt to lighten up a villain as opposed to an Anti-Hero, which has a tendency to darken the hero. Side by side, it can become very hard to tell them apart. The only reason some would even be considered evil at all is when they're the Designated Villain. Despite this humanizing characterization, they are rarely less dangerous. For instance, heroes wouldn't know what to expect if their enemy shows caring and then attacks their reputation, without giving them an excuse to rationalize killing them.
Most of them are probably well aware that what they're doing is ""evil"", unlike the blinded Knight Templar, but strive to maintain a façade of good PR, often by engaging in Pragmatic Villainy. They'll see it as a viable means to a (possibly) good end.
In terms of personality, anti-villains are kind-hearted and can be caring and honorable in nature, even towards their enemies, but it can be possible for them to treat their own allies with rudeness, which by its own accord, is a very unusual trait to possess. Moreover, compared to regular villains that are just simply evil, anti-villains are often neutral - depending on the writers of said characters. Those that are part of the neutral alignments however, aren't exactly benevolent, but they aren't malevolent either, but there also does exist anti-villains that are outright evil in nature, though they still maintain having all of the attributes on what anti-villains usually have in common. They can also be capable of a Heel–Face Turn much more easily than normal villains thanks to their personalities.
It may also be possible to turn a normal villain into an Anti-Villain over time by detailing their Start of Darkness, giving them a Cynicism Catalyst, a Morality Pet, multiple Pet the Dog episodes, or otherwise retconning them into submission. A Freudian Excuse may explain their actions, but almost never changes them into an Anti-Villain if there is nothing good about their present motivations.
See also the Sliding Scale of Anti-Villains. A character who is a Wild Card or a Heel–Face Revolving Door can be capable of being both an Anti-Hero and an Anti-Villain depending on whether or not they are acting for or against the protagonist at the time."
t01117,AnyoneCanDie,"Most of the time when you finally grasp who the main characters of the story are, you can expect that these characters will survive through the end of the story (or at least until the last episode). Well, This Is Not That Trope.
This is very common in Darker and Edgier works. When the writers want to impress you with their ruthlessness, they may trumpet that Tonight, Someone Dies, then kill off a random second-stringer that nobody much cares about. They might even kill off a major character because his actor was leaving anyway, or because they needed a good cliffhanger to convince people to watch the next season. That is also not this trope (although it's pretending to be).
Anyone Can Die is where no one is exempt from being killed, including pets, children, the elderly, even the main characters (maybe even the hero!) The Sacrificial Lamb is often used to establish the writer's willingness to kill off important characters early on. To really be the Anyone Can Die trope, the work must include multiple deaths of named characters, happening at different points in the story. Bonus points if the death is unnecessary and devoid of Heroic Sacrifice.
This trope is very helpful in keeping fans from being Spoiled by the Format. In a kid's show, of course Alice and Bob are going to survive the raging rapids.note Though that depends on the type of kids' show; Magical Princess Minky Momo was written for kids, and its heroine was killed by a truck halfway in. In a work of this type however, the danger actually becomes dangerous.
War shows like Mobile Suit Gundam benefit from having a larger cast since there are so many people to kill off. The frequent deaths within a wide cast make the storyline unpredictable, forcing you to wonder who'll be left standing once the dust settles.
Still, even if all characters are allegedly up for the possibility of a dance with the reaper, the general laws of storytelling (and, more importantly, how actors are contracted) tells us that you can expect the chances of main-character death to increase as you approach the climax of an arc, the final episodes of a season, the final chapters of a book, or the final instalment of a series, even if the work averts Death Is Dramatic. A creator needs to be quite committed to the concept to kill off an important character in a completely plot-irrelevant way.
When used poorly or too frequently, this trope can cause Darkness-Induced Audience Apathy or Eight Deadly Words as the audience won't see any point in getting attached to characters that they expect to die sooner or later.
Note that the character needs to be Killed Off for Real for the trope to have the desired effect; it does not work if the writers cheat and bring back the guy later (see Not Quite Dead, Disney Death, and Climactic Battle Resurrection). As such Super Hero Comic Books as a medium have gained a reputation of ""Anyone Can Die... until someone wants to use the character in a later story.""
A good way to check if this trope applies is to see if who survives is an important plot point, rather than only how they survive.
Contrast with Tonight, Someone Dies, Sorting Algorithm of Mortality and Contractual Immortality. Compare Second Law of Metafictional Thermodynamics. Compare Characters Dropping Like Flies, which is just about lots of people dying, and can overlap with this trope.
See also Kill ’Em All, when everyone will die. Opposite of Nobody Can Die and Plot Armor, where not even situations that should kill people manage to. See also Dwindling Party, where the deaths are evenly spaced rather than near the end. Easier to do in works with Loads and Loads of Characters. Can be expected in a Tragedy. Red Shirt is (usually) when the deaths are reserved for nameless extras. This trope tries to upgrade them to Mauve Shirt first.
This is definitely Truth in Television, because all living organisms are mortal and will eventually die for any number of reasons, with no fiction writers to determine how it happens, so No Real Life Examples, Please!.
As a Death Trope, all spoilers will be unmarked ahead. Beware."
t01136,ApocalypseHow,"While The End of the World as We Know It is very common in fiction, there are a wide variety of ways in which it can actually manifest; this can be measured on two sliding scales, depending on the size of the ""world"" in question, and to exactly what extent it ""ends"". This is derived in part from Bruce Sterling's analysis of ways in which the Real Life world could theoretically end.
Scope
Severity
Not to be confused with the comedy survival guide by Rob Kutner, which gives advice for surviving the relatively low-severity events. Or the Discovery Channel series by the same name which explores various scenarios in which this could play out.
Related Tropes (assorted causes)
See also: Sliding Scale of Villain Threat, Evil Only Has to Win Once and Why You Should Destroy the Planet Earth. If they actually show it, then you have an Apocalypse Wow. Contrast with Unspecified Apocalypse.
Not to be confused with the movie on whose title this trope is a pun."
t01141,ApocalypticLog,"A story is told through a log, diary, or journal that a character used to document their activities and progress through the backstory before something bad happened to its writer. A staple of Post-Apocalyptic Fiction to explain to the cast how the world ended up the way it is, it can also be used as a handy way to fill in heroes who arrive Late to the Tragedy, and one of the first (or last) things that a ""rescue"" party answering a Distress Call will find.
You can expect that whoever made this log will have recorded events up until their last breath. If the heroes (and thus the audience) choose to read this log from the beginning, the log will no doubt start and progress the same way, with hopeful characters recording the casual details of their lives and work, until things start going sideways and the entries shift towards concern, disbelief, desperation and/or (ultimately) insanity. The final — and usually the most important — entry may range from incoherent gibberish as the remaining character tries to warn the world of what happened to them, to a final cogent statement warning the reader not to repeat their mistake (or how to otherwise clean up after them).
This log can be written or recorded in a variety of ways; if it's a video log, the downhill progress of the situation will be punctuated visually, e.g. degradation in the appearance of the character, their surroundings, or even the video itself. Bonus points if a video log's final entry shows the character ultimately succumbing to whatever horror took over. Grand prize if it's a written log that somehow still records the author's final dying moments.
Depending on the timeframe and nature of the apocalyptic event, the log may have gone through Ragnarök Proofing in order to be legibly retrieved by the heroes.
See also Lost in Transmission, Distress Call, Late to the Tragedy, Action Survivor, Almost Dead Guy, Harbinger of Impending Doom, Send in the Search Team, Ignored Expert, Undead Author, Posthumous Character, Posthumous Narration, That Was the Last Entry. See also Video Will, the various times when the Cassette Craze applies to disappearances, and some of the less pleasant cases of Message in a Bottle. Deadline News is a related trope where the very bad thing happens to the TV news crew reporting live on it.
Not to be confused with Post-Apocalyptic Dog, or the apocalyptic Loge from Richard Wagner's Götterdämmerung, or with the Captain's Log, or with the result of consuming a Masochist's Meal with a Gargle Blaster. Occasionally overlaps with Blood-Stained Letter.
Well, that about wraps it up for... Good God! What’s that coming out of the garbage disposal — eeeeyahh! glub, glub. . . ."
t01213,ArchaicWeaponForAnAdvancedAge,"There's a certain amount of cultural and symbolic weight to most historical weapons, accurate or not. They invoke a feeling of the Good Old Ways, and may be seen as more honorable, elegant, interesting, or simply cool. They're also traditional in many settings, especially for those that have roots in Medieval European Fantasy, such as Role-Playing Games.
However, even in settings where these weapons should be obsolete and out of place, they often show up and are shown to be just as effective, if not more so, than weapons that are modern to the setting.
This occurs with extreme frequency in Eastern RPGs, probably due to the genre's origins in Dungeons  Dragons. Even in Steampunk and Urban Fantasy settings, you will find swords, axes, spears, katanas, and all other manner of (seemingly, at least) anachronistic weaponry. It also appears in settings with Schizo Tech. It's even possible the character uses this because s/he Doesn't Like Guns. Sometimes it will be justified with a Retro Upgrade (said weapon has become useful again because something's changed) and/or by making it an Enhanced Archaic Weapon.
It's also Truth in Television to an extent. While it's true that the modern battlefield is dominated by guns, hand-to-hand and melee weapon combat training will likely always be a part of military curricula: guns can be cumbersome in close combat and melee weapons are much quieter, so the humble dagger and its modern derivatives will never go out of style.
They are often employed by heroes because Heroes Prefer Swords. Often a result of using the old technology in ways that were Not the Intended Use.
Super-Trope to The Straight and Arrow Path. Compare Break Out the Museum Piece, Older Is Better, Rock Beats Laser, and some forms of Improperly Placed Firearms. See also Elegant Weapon for a More Civilized Age."
t01232,ArcWords,"A word or phrase that appears throughout an Arc as a Motif.
Arc Words can be a way to hint at the Aesop or one of the themes of a show, often in the form of a question the characters must find an answer to. Alternately, they can be used for Foreshadowing.
They're often cryptic, and left unexplained until the Climax or Dénouement. This builds up tension and mystery, and hints that anyone using the words knows more than they're telling. This enigmatic variant is a typical element of a Mind Screw, and is sometimes used as a memetic way of advertising the show.
Arc Words need not have attention drawn explicitly to them; they often rely instead on eagle-eyed/sharp eared viewers noticing for themselves. In the ""Bad Wolf"" example from the first series of the revival of Doctor Who, the words appeared as, among other things, a helicopter's callsign, a reference in dialogue to ""The Big Bad Wolf"", a graffito, and even in other languages (the [inaccurate] German Schlechter Wolf, and the Welsh Blaidd Drwg, the latter tipping off the Doctor about it).
Look for these on the Internet Movie Database ""memorable quotes"" page for the show, with the label ""repeated line"".
The high-browed, academic term used for this is ""Leitwort"" from the German for ""leading"" or ""guiding word"".
When this is a number instead of a phrase, it's Arc Number, and Arc Symbol if it's an image. Compare with Dream Melody. Not to be confused with Arc Reactor Words, which generally have to do with caves and boxes of scraps.
Arc Words are not the same thing as a Running Gag, a Catchphrase, or even just a phrase that ends up popping up a lot due to being used a lot in the plot. ""May the Force be with you"" are not arc words; it's an expression and a social nicety. Arc Words also must help define the tone of their entire work, or at least the plot arc where they appear."
t01250,AristocratsAreEvil,"A lot of tropes have origins way back when media was still forming; this is one of them.
It might have been an early way to appeal to the masses, or just due to the way aristocrats tended to look down on the general public. But it was then and is now really popular to cast aristocrats as villains. A variety of Meaningful Titles exist—people with feudal titles are very commonly evil. Popular titles are Countnote in Britain, they're guaranteed to be foreign, since the equivalent local rank is Earl—probably because in the Medieval Accent it sounded kind of unfortunate, and Baron—two titles which are rarely seen on a good guy. (Oddly enough, a Countess has a better-than-even chance of being a decent woman.note And Britain does have Countesses, it's the female equivalent of an Earl.) And though it doesn't show up a great deal, you should break out in a cold sweat when you meet a Viscount. Unless it's Viscount Horatio Nelson. Interestingly, both counts and barons are fairly common titles among Continental Europeans, but rare among the English, which may suggest a regional bias in which aristocrats are cast as villains.
Needless to say, Barons fare the worst in popular fiction, with one notable exception when used as a badass nickname. Maybe it's something to do with the old nickname ""Sugar Baron"", who makes his wealth off the labour of the poorest of the poor, and from slaves. (In the U.S. this became the ""Robber Baron"", the derogatory term for wealthy industrialists that made their money off the backs of immigrant labor.)
One major exception: Dukes are usually relatively nice. This may be due to the fact the title was awarded to those who rose to aristocracy as war leaders. Thus, the Duke has a ""grass roots"" feel to it, and a badass quality; as well, much like The Good Captain, military titles are generally for good guys, with the possible exceptions of Admiral and Major. Also, before the 18th and 19th centuries, Dukes were generally too high up the ladder of aristocracy to really have much contact with common people at all. Because of this, Dukes were not the nobles that were directly oppressing the common people, and so didn't receive quite the same stigma… especially since in some local cases, a Duke actually ran interference against a lower-ranking nobleman on behalf of the masses. Dukes (and especially Grand Dukes) can be evil if the Hero is a Royal. Often a Duke is scheming to take over the throne himself.
Other titles generally have a more neutral feel to them—Earls tend to be good but quite elderly and senile, while it is rare to see a Marquess in anything other than a particularly faithful historical adaptation. Baronets were quite often villains in both Victorian Melodrama and Wodehousian comedy (not to mention the Gilbert and Sullivan operetta Ruddigore), probably due to the fact that baronetcies could be more or less openly bought, indicating that the character is not only Nouveau Riche, but also ambitious and seeking to rise beyond his station (the worst social sin in Victorian Britain). Queens/Kings may be either good or evil. And, of course, Everything's Better With Princesses (or is it?).
The title Sir is the best of the lot, being martial, unprepossessing, and upwardly mobile. Even actors like to be called Sir.
The title Lord is somewhat problematic as strictly speaking any British or Irish Peer (other than a Duke or Duchess) would be addressed as such. For instance a character named 'Lord Bloggs', might be the Earl of Bloggs, or the Marquess of Bloggs or so on. The title 'Lord -' is also a favorite of a certain type of supernatural villain (Lords Vader and Voldemort, most famously), but are really a separate trope - normally not real aristocrats, and normally not powerful simply because of their titles.
The Prince will almost always be charming, even in the rare cases where that is not actually his name. However, there are two uses of the term. The Prince may be the son of a King, or it may be used to refer to any ruler or leader (re: Machiavelli). If an evil prince ever appears in fiction, be sure to check that it is not in fact the latter. And of course, the Evil Prince may be out to kill the good one.
If it's an Action-Adventure story, you can bet anyone with the title Lady will be a Lady of War.
If there's a Queen then she will be regal and respected or God Save Us from the Queen! Conversely, a Prince is much more likely to be The Wise Prince; compare Fisher King.
Don't even get us started on Emperors or Chancellors. Good luck finding a Marquis, though (though there's at least one infamous example of such).
While East Asian and pre-Columbian noble titles are usually translated - Huangdi and Tlatoani are all simply Emperors, and treated as such - the Middle East has an aristocratic hierarchy of its own. Sheikhs and Sultans used to be romantic, but since the 1970s oil embargo they're almost universally bad news in fiction: typically depicted as corrupt, greedy, lecherous, fat, and smug. Emirs have roughly the same connotations, but the title is even more besmirched because of its use by terrorist leaders. Caliphs, however, are a rarity. This is mostly because the title, while extremely prestigious, was powerless on its own most of the time and is completely gone today, the only claimant being a raving terrorist. That being said, in the short period where the caliphs were relevant - the early Middle Ages - they can be seen in ""Arabian Nights"" Days stories. While these caliphs are usually benevolent, beware of Grand Viziers.
Squires tend to be Quintessential British Gentlemen. They are likely to be rather gruff but good natured under all that. They tend to either be a retired military officer, or a father obsessed with marrying off his daughters or with a wife with the same obsession.
Chiefs tend to be a leader of a tribal community, generally a barbarous one. They will likely be badass because their culture insists that Authority must equal asskicking and may even have gotten their job from Klingon Promotion. Alternatively they are chief of a tribe that has acculturated itself to mundane lifestyles. In that case, expect him to wax poetic about the Good Old Ways.
Several of these kinds of aristocrats together form a Decadent Court.
See also The Baroness and The Caligula. A young aristocrat may fall under Royal Brat.
Aristocrats are often willing to be polite and even with people of their own rank. Moral Myopia, however, often limits it to fellow aristocrats. Commoners are just out of luck — especially servants. If they're not actively in charge, expect them to be part of the Omniscient Council of Vagueness. A Regent for Life will pick any one of these titles, especially if they run the People's Republic of Tyranny. In that case, only when the Rightful King Returns will harmonious social order be restored to the realm.
In most cases, aristocrats are associated exclusively with monarchical and imperial societies. In actual fact, the word aristocrat comes from Athenian democracy. The word comes from the combination of ""Arete"" (Greek for ""the best"" or most virtuous) and ""Kratos"" (power). In other words ""power of the best"". It originally referred to the fact that leading members of Athenian families were supposed to be first in battle and represent the highest and best values of society. The ""best men"" (aristocrats) had the highest voting privileges and greatest power. So an aristocrat is not necessarily exclusive to monarchical and feudal nations. The Romans incidentally, after conquering Greece, used the word ""optimate"" or ""boni"" which meant the same thing in Latin (Best Men/Good Men), and as in the case of Athens, it was often the case that those who possessed the most wealth, prestige, and power were regarded as the best and good men. In England-France-USA, the word Aristocracy in the 18th and 19th Century, was often used in the original classical sense, to describe individuals and interests that restricted suffrage and voting rights.
For the modern version of this trope, see Corrupt Corporate Executive, and to a lesser extent, Nouveau Riche.
Very prone to Screw the Rules, I Have Money!, Screw the Rules, I Make Them!, and Screw the Rules, I Have Connections! Sometimes even prone to Screw the Money, I Have Rules!
Morally Ambiguous Doctorate is also related, insofar as the title of Doctor gives the Mad Scientist some implied legitimacy.
If there are any German or Dutch Evil Aristocrat in the fiction, The Von Trope Family might please us with the delight of their company.
For more information on the British title system, see Knight Fever. Not to be confused with The Aristocrats, a ""stock joke"" based on this premise.
This trope often goes hand in hand with Slobs vs. Snobs. See also, Eat the Rich and Kill the Poor."
t01284,ArrangedMarriage,"An Arranged Marriage is, quite simply, the idea that someone is going to choose your spouse for you.
The way an Arranged Marriage is treated by the plot will be dependent on place and time. For most of human history, arranged marriages were the norm because ""marriage"" was less about the union of two souls and more about the union of two families. The rise of the ""Marry for Love"" ideal didn't really start in Western culture until the 16th century, and there are places on Earth where it still hasn't. Additionally, the ""Marriage Before Romance"" trope often went hand-in-hand with arranged marriages. While the priority is, again, the union of two families, that union is dependent on the stability and comfort of the two people getting married, so the two families would try their best to come up with a Perfectly Arranged Marriage. The couple's happiness just wasn't the main goal the way it is in Western marriages today.
However, the one thing that is almost always present in an arranged marriage is tension. Most people don't really want to marry a total stranger (much less have sex with them), and if that total stranger turns out to be a complete rogue and a cad, it may be necessary for the heroes to spring into action and rescue the hapless member of their group who is being forced to walk down the aisle. (Of course, being Big Damn Heroes, they'll have to do so in the most overblown and dramatic way possible.) Sometimes, the person in the arranged marriage takes matters into their own hands and becomes a Runaway Fiancé. The ""aggrieved"" party may claim Breach of Promise of Marriage in response, as arranged marriages tend to be viewed as legally binding commitments by those who initiate it. Alternately, there's a Love Triangle. The character of the suitor is less likely to be important in those cases, but they generally won't look kindly on the outsider's interference.
Conversely, an Arranged Marriage can be used to lock the hero and heroine together so that their disputes can not end with one of them washing their hands of the other.
A common tactic is for the daughter of a wealthy but common family to be matched with the Impoverished Patrician, for his title: Nobility Marries Money. Occasionally, it's the other way around, with a titled daughter and a moneyed son. Families may even pledge infant children in marriage pacts that cannot be concluded until many years later.
Both in fiction and in Real Life, royal children (sons as well as daughters) were used as pawns in the political game cementing alliances and peace treaties with their marriages. You might say it was their job to take part in such Altar Diplomacy.
The Arranged Marriage is not to be confused with: a Childhood Marriage Promise (whereby a prepubescent couple voluntarily pledges their own non-legally-binding, future troth); a marriage which may arise out of convenience; or a marriage that arises from some kind of cultural mistake. For clarity's sake, the Arranged Marriage trope will deal only with more binding, traditional types of unions.
See also Parental Marriage Veto, You Have Waited Long Enough, Old Man Marrying a Child, Homosocial Heterosexuality, Royal Inbreeding, and Marriage Before Romance. A Shotgun Wedding is a short-notice forced marriage. If someone agrees to an Arranged Marriage but loves someone else, Courtly Love may be involved. If the people doing the ""arranging"" in the marriage aren't the parents, that's a Bureaucratically Arranged Marriage.
Often involves Prince Charmless and Rebellious Princess. At least recently, one of the potential spouses was as likely as not to try to defy this. When the audience really doesn't want this marriage, expect the Big Damn Heroes to show up right at the Speak Now or Forever Hold Your Peace line.
To see the types of follies and foibles associated with modern dating services, see Dating Service Disaster. Supertrope to Perfectly Arranged Marriage. Subtrope of Marriage of Convenience. Contrast Marry for Love. Compare And Now You Must Marry Me. Compare and contrast Fourth Date Marriage, where the couple likewise barely knows each other but it was Love at First Sight."
t01294,ArsonMurderAndJaywalking,"When listing three or more things, the comedy rule is to not finish strong, but to list some strong examples followed by a very weak example, for the funny. Sometimes this will stick to the Rule of Three, but sometimes a proper Long List will increase the humor.
In the US and Canada, ""jaywalking"" means crossing the road in a dangerous manner, particularly ignoring the crosswalks when crossing city streets. In many other countries, not only are there almost no restrictions on where you can cross, but the idea of someone being fined for crossing the road is alien. In places where jaywalking is illegal, it's usually an infraction (i.e. like a parking ticket) rather than a proper criminal offense, and some cities don't even bother to enforce it.
See also: List of Transgressions, Arson, Murder, and Lifesaving, Felony Misdemeanor, Good News, Bad News, Odd Name Out, The Triple. Compare Poke the Poodle, All Crimes Are Equal, Jaywalking Will Ruin Your Life, when the minor crime carries significant consequences. The inverse is Bread, Eggs, Milk, Squick, where a list of seemingly mundane things ends with something much darker. Clue, Evidence, and a Smoking Gun is a related inverse that deals with deductions rather than listing things. Sub-Trope of The Last of These Is Not Like the Others."
t01305,ArtifactOfDoom,"The Artifact of Doom is an unusual villain in that it is a (seemingly) inanimate object that somehow manages to be pure evil. It is the threat of corruption and falling to The Dark Side. It may also cause Great Insanity, death, or worse.
This item has a palpable presence beyond merely being a device. Its threat is ever constant, whether destroying those it directly opposes, or consuming those who dare use it from within with dark whispers of power. Nonetheless, it is incapable of action on its own; its power lies in manipulating its user to act for it. Therein lies the irony: if people would just leave the damn thing alone, it would be harmless, but since Evil Feels Good, some idiot will inevitably try it out and doom us all.
There will be a conflict among the heroes, between those who say they should dare to use its power and resist or purify the corrupting effects; and those feel it should be destroyed/sealed. The artifact will often make this conflict escalate to a Hate Plague with deadly consequences. This may be explicitly stated as one of its powers in the case of the Artifact of Attraction.
Still think it's worth the risk? Think you can handle it? After all, once you realize how evil it is, all you have to do is get rid of it or destroy it... Both of which are easier said than done.
Often has An Aesop on how power corrupts and over-reliance on technology/magic is a bad thing.
If the artifact is a wearable item that refuses to come off (or you will never want or think about taking it off), then it's also a Clingy MacGuffin. If it's a Dismantled MacGuffin, then reassembling it is required to get the Set Bonus.
Usually found at half-price at The Little Shop That Wasn't There Yesterday, or handed out by the Evil Mentor (if he hasn't turned himself into the artifact). If It Was a Gift, do not trust the giver thereafter.
Sub Tropes include the Tome of Eldritch Lore, Evil Weapon, Evil Mask, and the Summoning Artifact. Occasionally doubles as an Artifact of Death. More often, it is an Amulet of Dependency. Often overlaps with Happy Fun Ball when the artifact appears to be something harmless or mundane. The Soul Jar of an evil character almost always doubles as one of these. May also be the can of Sealed Evil in a Can. See also Sentient Phlebotinum and Holy Is Not Safe when the artifact was made by the good guys but still dangerous.
Not to be confused with the Artifact of Doom 3. Completely unrelated to The Artifact."
t01342,ArtisticLicenseGunSafety,"Guns are dangerous things; they're designed with the primary purpose of using a projectile to injure or kill whatever it's fired at. Such power needs to be respected, and it shouldn't be surprising that there are various obvious safety rules in place when using a gun, that anybody who wants to use a firearm should know. Even then an expert can conceivably make a serious (and possibly fatal) mistake when handling a gun. There is even a saying among gunsmiths that ""There are two types of gun owners. Those who have had their guns discharge accidentally, and those who will have their guns discharge accidentally.""
Many writers, actors, artists, and directors, however, ignore these rules. What results from this are scenes where characters are doing things they shouldn't, such as placing their fingers on the triggers of their weapons when not about to fire, or pointing their weapons at people whom they are not trying to shoot; one particularly common example is foolish officers making routine arrests (e.g. drunk driving or check fraud) at gunpoint for no real reason. This is particularly troublesome when these people are supposed to be experts with lots of experience with their weapons.
The distinction between this trope and Reckless Gun Usage is that this involves people who either should know gun safety based on their profession, or are stated to have extensive experience with firearms while Reckless Gun Usage involves people who are likely not familiar with basic firearm safety. If this is done for comedic purposes it's Juggling Loaded Guns. If this shows up and somebody gets shot, it's I Just Shot Marvin in the Face. If the rules are followed and somebody gets shot anyway, that's Reliably Unreliable Guns going off. Firing in the Air a Lot is always a case of this, as are Pants-Positive Safety and Gun Twirling. The trope also usually goes hand in hand with Stray Shots Strike Nothing.
May also be the writer hinting that a character isn't as professional as he should be.
See Guns Do Not Work That Way, for links to Tropes of the most common offenders.
Note that there is a very good reason why all of the examples here are listed under Artistic License, as trying to actually replicate any of them could lead — and has led — to accidents, many of them fatal. For obvious reasons, Don't Try This at Home.
The Four Rules of gun safety:"
t01376,AscendedExtra,"A minor character who is given a greatly expanded role in the later part of the series, a new adaptation of a story, or in the Expanded Universe. It is usually safer to do this with an otherwise obscure character without much depth, since the likelihood of creating plot contradictions is lower. On the other hand, the character may or may not be allowed to have a huge effect on the plot depending on how much the writer is trying to follow source material. Can lead to some bizarre incongruities in planning (e.g. Overtook the Manga, Restricted Expanded Universe). Sometimes the minor character becomes an Ascended Extra just so the writers can immediately turn them into a Sacrificial Lion.
This naturally occurs as a series goes on for long periods of time and useful for filler, technically not requiring you invent someone whole cloth. Be warned however that this character might be more liked by the fandom than the writers, who may have no compunction with getting rid of them when convenient.
If a series involves a Time Skip between seasons or story arcs (or if time travel involves someone taking The Slow Path), this can happen when a character who was a child in the first part grows up enough to have an impact on the plot.
This also happens somewhat regularly in Fan Fiction, often when writers feel a character has potential that wasn't fully exploited in the original source. See also O.C. Stand-in, They Wasted a Perfectly Good Character.
Compare the Breakout Character, where a supporting character gains a fandom that rivals or exceeds the main characters and thus becomes more prominent in canon. Compare also the Ensemble Dark Horse where in a similar fashion, a supporting character role remains the same but that character receives more fans . See Breakout Villain specifically for when a would-be one-shot villain ascends to Big Bad status, either through Ascended Extra or Breakout Character. A One-Scene Wonder is not an Ascended Extra, at least officially; fanfic, on the other hand...
See Mauve Shirt for when a member of the Redshirt Army gets his own name and minor characterization, but still doesn't become more than a minor supporting character in any way. For the villain equivalent, see Mook Promotion. The inverse of this trope is Demoted to Extra. Retroactive Recognition is when this happens in Real Life. O.C. Stand-in is when this happens in a fanfic.
Compare Red Herring Shirt, only the ascension is intended from the beginning, and Ensemble Dark Horse, where fans become fascinated by a character who canonically has only a very small role, at least initially.
Also, contrast with Demoted to Extra."
t01384,AscendToAHigherPlaneOfExistence,"The character ascends to a higher state of being, even becoming a god. It can result from other supernatural causes, but is most often used as a character's fate after they die, in a riff on the idea of a heavenly afterlife.
It is mostly a way to pay off a character. Or play off, in some cases. A way to put the character on a bus, though that's not all that it's used for. If the writers should need the character back, it can be very easy to reverse, in which case the character will De-Power as a God in Human Form. Sometimes the accession isn't even meant to be permanent if the writer needs some way for a character to enter a higher plane, then leave with something important like knowledge or a new power. If the character has left their clothes behind, untouched, it's a case of Shapeshifting Excludes Clothing.
The Singularity can cause whole populations to ascend.
Expect examples of this trope to make use of the words ""ascend"" and ""above"" in line with Heaven Above, where the divine and supernatural are associated with the sky above us. Compare Winged Soul Flies Off at Death. Contrast Cessation of Existence.

As a Death Trope, all Spoilers will be unmarked ahead. Beware."
